setting,model_slug,model_name,lang,acc,sample_count,result_path,result_mtime_ns,display_model,model_rank
include_base_44,gpt2xl,openai-community/gpt2-xl,croatian,0.26545454545454544,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,dutch,0.13793103448275862,551,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,estonian,0.3125,224,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,finnish,0.23049001814882034,551,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,french,0.26730310262529833,419,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,georgian,0.3,500,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,german,0.31654676258992803,139,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,greek,0.19202898550724637,552,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,hebrew,0.26,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,hindi,0.25411334552102377,547,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,hungarian,0.26,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,indonesian,0.2381818181818182,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,italian,0.2791970802919708,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,japanese,0.2714570858283433,501,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,kazakh,0.276,500,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,korean,0.23,500,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,lithuanian,0.250936329588015,534,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,malay,0.26746506986027946,501,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,malayalam,0.19832985386221294,479,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,nepali,0.228,500,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,north macedonian,0.23593466424682397,551,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,persian,0.22262773722627738,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,polish,0.2281021897810219,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,portuguese,0.2177858439201452,551,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,russian,0.26268115942028986,552,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,serbian,0.20727272727272728,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,spanish,0.26181818181818184,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,tagalog,0.32,500,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,tamil,0.2381818181818182,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,telugu,0.2645985401459854,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,turkish,0.2572992700729927,548,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,ukrainian,0.34545454545454546,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,urdu,0.3409090909090909,352,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,uzbek,0.39019963702359345,551,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,gpt2xl,openai-community/gpt2-xl,vietnamese,0.26,550,results_2026-05-23T00-37-03.502968.json,1779496623517142513,GPT-2 XL,1
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,albanian,0.27041742286751363,551,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,arabic,0.27355072463768115,552,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,armenian,0.23636363636363636,550,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,azerbaijani,0.29927007299270075,548,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,basque,0.272,500,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,belarusian,0.2509090909090909,550,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,bengali,0.2773722627737226,548,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,bulgarian,0.2927272727272727,550,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
include_base_44,llama27b,meta-llama/Llama-2-7b-hf,chinese,0.28073394495412846,545,results_2026-05-23T00-23-47.556697.json,1779495827566339232,Llama-2-7B,2
